metric_name,labels,metric1,metric2,abs(diff),percent_diff,diff
mysql_info_schema_innodb_metrics_log_log_writes_total,{},44610.0,44587.0,23.0,-0.05155794664873347,-23.0
mysql_info_schema_innodb_metrics_os_os_data_fsyncs_total,{},34525.0,34876.0,351.0,1.0166545981173063,351.0
mysql_info_schema_innodb_metrics_os_os_data_reads_total,{},1109.0,1115.0,6.0,0.5410279531109108,6.0
mysql_info_schema_innodb_metrics_os_os_data_writes_total,{},47305.0,47426.0,121.0,0.25578691470246273,121.0
mysql_info_schema_innodb_metrics_os_os_log_bytes_written_total,{},23989248.0,23987200.0,2048.0,-0.008537157980108423,-2048.0
mysql_info_schema_innodb_metrics_os_os_log_fsyncs_total,{},32969.0,33228.0,259.0,0.7855864600078862,259.0
mysql_info_schema_innodb_metrics_server_innodb_activity_count_total,{},11888.0,11885.0,3.0,-0.025235531628532974,-3.0
mysql_info_schema_innodb_metrics_server_innodb_dblwr_pages_written_total,{},1925.0,2039.0,114.0,5.922077922077922,114.0
mysql_info_schema_innodb_metrics_server_innodb_dblwr_writes_total,{},522.0,554.0,32.0,6.130268199233716,32.0
mysql_info_schema_innodb_metrics_transaction_trx_rseg_history_len,{},119.0,149.0,30.0,25.210084033613445,30.0
mysql_info_schema_processes_by_user,{'mysql_user': 'root'},2.0,1.0,1.0,-50.0,-1.0
mysql_info_schema_threads,{'state': 'replication master'},1.0,0.0,1.0,-100.0,-1.0
mysql_info_schema_threads_seconds,{'state': 'other'},136.0,137.0,1.0,0.7352941176470588,1.0
mysql_info_schema_threads_seconds,{'state': 'replication master'},124.0,0.0,124.0,-100.0,-124.0
mysql_perf_schema_external_lock_waits_seconds_total,"{'schema': 'test', 'operation': 'write', 'name': 'table_0'}",0.0017343711,0.00152413821,0.00021023289,-12.121563257136838,-0.00021023289
mysql_perf_schema_external_lock_waits_seconds_total,"{'operation': 'write', 'name': 'table_1', 'schema': 'test'}",0.00165717774,0.00199755741,0.00034037967000000017,20.539720138891088,0.00034037967000000017
mysql_perf_schema_external_lock_waits_seconds_total,"{'schema': 'test', 'operation': 'write', 'name': 'table_2'}",0.0018223629,0.00430576659,0.00248340369,136.27382833572833,0.00248340369
mysql_perf_schema_external_lock_waits_seconds_total,"{'operation': 'write', 'name': 'table_3', 'schema': 'test'}",0.00164700831,0.0016773861,3.037778999999993e-05,1.8444223878870367,3.037778999999993e-05
mysql_perf_schema_external_lock_waits_seconds_total,"{'operation': 'write', 'name': 'table_4', 'schema': 'test'}",0.00201711588,0.0016483977,0.0003687181799999998,-18.279474355236342,-0.0003687181799999998
mysql_perf_schema_external_lock_waits_seconds_total,"{'name': 'table_5', 'operation': 'write', 'schema': 'test'}",0.00172549101,0.00204335508,0.0003178640699999999,18.421659003601526,0.0003178640699999999
mysql_perf_schema_external_lock_waits_seconds_total,"{'schema': 'test', 'operation': 'write', 'name': 'table_6'}",0.00170735151,0.00147541908,0.00023193243000000003,-13.584339759069298,-0.00023193243000000003
mysql_perf_schema_external_lock_waits_seconds_total,"{'name': 'table_7', 'operation': 'write', 'schema': 'test'}",0.00152287932,0.00169017597,0.00016729664999999994,10.985548743284527,0.00016729664999999994
mysql_perf_schema_external_lock_waits_seconds_total,"{'operation': 'write', 'schema': 'test', 'name': 'table_8'}",0.0016868343,0.00163220526,5.4629040000000106e-05,-3.2385540180206265,-5.4629040000000106e-05
mysql_perf_schema_external_lock_waits_seconds_total,"{'operation': 'write', 'schema': 'test', 'name': 'table_9'}",0.00177956325,0.00167065143,0.00010891181999999992,-6.12014324301201,-0.00010891181999999992
process_cpu_seconds_total,{},1.46,1.36,0.09999999999999987,-6.849315068493142,-0.09999999999999987
process_resident_memory_bytes,{},15982592.0,16179200.0,196608.0,1.2301383905689391,196608.0
process_start_time_seconds,{},1693129378.19,1693129378.56,0.36999988555908203,2.185301905012254e-08,0.36999988555908203
